Effect,Make,Model,Powertrain,From,To,Notes
Excluded,BMW,(all models),,,,
Excluded,Honda,(all models),,,,
Excluded,Acura,(all models),,,,
Excluded,MINI,(all models),,,,
Excluded,Nissan,Leaf,,,,
Excluded,Mazda,CX-60,,,,
Excluded,Volkswagen,Tiguan,PHEV,,,
Excluded,Mercedes-Benz,EQ* (all models starting with “EQ”),,,,
Tracking Only,Ford,(all models),,,,
Tracking Only,Chevrolet,(all models),,,,
Tracking Only,GMC,(all models),,,,
Tracking Only,Buick,(all models),,,,
Tracking Only,Cadillac,(all models),,,,
